file,genre,total,a,b,p_a_s,p_b_s,dendro_color
梅花に対する感情,随筆,71,3,0,0.0486111111111111,0.0069444444444444,緑
カルメン,小説,66,27,3,0.4104477611940300,0.0522388059701492,緑
恋愛と夫婦愛とを混同しては不可ぬ,随筆,43,22,0,0.5113636363636360,0.0113636363636363,緑
プロレタリア文学論,評論,51,25,0,0.4903846153846150,0.0096153846153846,緑
「菊池寛全集」の序,序文,57,28,0,0.4913793103448280,0.0086206896551724,緑
小説の戯曲化,評論,61,30,0,0.4919354838709680,0.0080645161290322,緑
格さんと食慾,人物記,19,10,0,0.525,0.025,緑
近藤浩一路氏,人物記,25,15,0,0.5961538461538460,0.0192307692307692,緑
滝田哲太郎君,追悼文,41,12,3,0.2976190476190480,0.0833333333333333,緑
尼提,小説,70,20,5,0.2887323943661970,0.0774647887323943,緑
素戔嗚尊,小説,1297,375,97,0.2892912172573190,0.075115562403698,緑
十円札,小説,281,63,24,0.225177304964539,0.0868794326241134,緑
寒さ,小説,148,36,13,0.2449664429530200,0.0906040268456375,緑
素描三題,随筆,91,21,8,0.233695652173913,0.092391304347826,緑
春の夜,小説,86,23,7,0.2701149425287360,0.0862068965517241,緑
桃太郎,小説,142,36,10,0.2552447552447550,0.0734265734265734,緑
「侏儒の言葉」の序,序文,5,1,0,0.25,0.0833333333333333,緑
わが散文詩,散文詩,151,38,12,0.2532894736842110,0.0822368421052631,緑
才一巧亦不二,随筆,18,5,2,0.2894736842105260,0.131578947368421,緑
balthasar,翻訳,414,103,45,0.2493975903614460,0.1096385542168670,緑
講演軍記,紀行文,22,5,2,0.2391304347826090,0.108695652173913,緑
夢_1,随筆,27,6,3,0.2321428571428570,0.125,緑
手巾,小説,197,43,26,0.2196969696969700,0.1338383838383840,緑
「支那游記」自序,序文,10,3,0,0.3181818181818180,0.0454545454545454,緑
南京の基督,小説,235,70,11,0.298728813559322,0.048728813559322,緑
仙人,小説,140,30,4,0.2163120567375890,0.0319148936170212,緑
食物として,随筆,15,3,0,0.21875,0.03125,緑
二人の友,回想,45,10,1,0.2282608695652170,0.0326086956521739,緑
都会で,随筆,40,9,1,0.2317073170731710,0.0365853658536585,緑
本所両国_1,随筆,753,186,38,0.2473474801061010,0.0510610079575596,緑
本所両国,随筆,782,189,42,0.2420178799489140,0.0542784163473818,緑
Ｏ君の新秋,小説,62,15,3,0.246031746031746,0.0555555555555555,緑
少年,小説,559,127,31,0.2276785714285710,0.05625,緑
毛利先生,小説,285,66,14,0.2325174825174830,0.0506993006993006,緑
犬養君に就いて,人物記,12,3,0,0.2692307692307690,0.0384615384615384,緑
一夕話,小説,224,61,10,0.2733333333333330,0.0466666666666666,緑
妙な話,小説,133,34,6,0.2574626865671640,0.0485074626865671,緑
たね子の憂鬱,小説,151,17,5,0.1151315789473680,0.0361842105263157,緑
或阿呆の一生,小説,490,79,10,0.1619144602851320,0.0213849287169042,緑
雪,小説,25,4,0,0.173076923076923,0.0192307692307692,緑
小説の読者,評論,23,4,0,0.1875,0.0208333333333333,緑
鴨猟,追悼文,18,3,0,0.1842105263157890,0.0263157894736842,緑
三つの窓,小説,243,48,7,0.1987704918032790,0.0307377049180327,緑
ひょっとこ,小説,173,34,4,0.1982758620689660,0.0258620689655172,緑
彼,小説,192,39,4,0.2046632124352330,0.0233160621761658,緑
保吉の手帳から,小説,345,63,14,0.1835260115606940,0.041907514450867,緑
玄鶴山房,小説,441,83,16,0.1889140271493210,0.0373303167420814,緑
夢,随筆,216,39,7,0.1820276497695850,0.0345622119815668,緑
忘れられぬ印象,紀行文,13,2,0,0.1785714285714290,0.0357142857142857,緑
久米正雄,人物記,17,2,0,0.1388888888888890,0.0277777777777777,緑
虱,小説,129,18,3,0.1423076923076920,0.0269230769230769,緑
おぎん,小説,169,28,5,0.1676470588235290,0.0323529411764705,緑
二人の紅毛畫家,評論,14,2,0,0.1666666666666670,0.0333333333333333,緑
忠義,小説,445,66,14,0.1491031390134530,0.0325112107623318,緑
魚河岸,小説,74,11,2,0.1533333333333330,0.0333333333333333,緑
動物園,小説,124,20,7,0.164,0.06,緑
影,小説,374,67,20,0.18,0.0546666666666666,緑
飯田蛇笏,人物記,64,11,3,0.1769230769230770,0.0538461538461538,緑
海のほとり,小説,241,42,15,0.1756198347107440,0.0640495867768595,緑
鼠小僧次郎吉,小説,309,56,18,0.182258064516129,0.0596774193548387,緑
馬の脚,小説,420,87,17,0.2078384798099760,0.0415676959619952,緑
さまよえる猶太人,小説,185,36,8,0.1962365591397850,0.0456989247311828,緑
上海游記,紀行文,1174,234,54,0.1995744680851060,0.0463829787234042,緑
大正十二年九月一日の大震に際して,随筆,311,60,15,0.1939102564102560,0.0496794871794871,緑
東京小品,小説,112,21,5,0.1902654867256640,0.0486725663716814,緑
酒虫,小説,199,42,12,0.2125,0.0625,緑
山鴫,小説,245,47,14,0.1930894308943090,0.0589430894308943,緑
芋粥,小説,419,85,22,0.2035714285714290,0.0535714285714285,緑
あばばばば,小説,261,42,11,0.1622137404580150,0.0438931297709923,緑
お富の貞操,小説,323,50,14,0.1558641975308640,0.044753086419753,緑
軍艦金剛航海記,記録文,207,30,9,0.1466346153846150,0.0456730769230769,緑
歯車,小説,955,147,48,0.1542887029288700,0.0507322175732217,緑
歯車_1,小説,940,138,49,0.1471838469713070,0.0526036131774707,緑
耳目記,断章,21,3,1,0.1590909090909090,0.0681818181818181,緑
路上,小説,1357,209,88,0.1542709867452140,0.0651693667157584,緑
将軍,小説,602,86,41,0.1434494195688230,0.0688225538971807,緑
蜃気楼,小説,213,31,13,0.1471962616822430,0.0630841121495327,緑
京都日記,紀行文,106,14,6,0.1355140186915890,0.0607476635514018,緑
LOS CAPRICHOS,散文詩,230,28,15,0.1233766233766230,0.0670995670995671,緑
年末の一日,小説,108,14,7,0.1330275229357800,0.0688073394495412,緑
亦一説？,アンケート,17,5,0,0.3055555555555560,0.0277777777777777,緑
clarimonde,翻訳,849,263,20,0.31,0.0241176470588235,緑
続澄江堂雑記,随筆,62,19,1,0.3095238095238100,0.0238095238095238,緑
島木赤彦氏,追悼文,48,13,1,0.2755102040816330,0.0306122448979591,緑
漱石山房の冬,小説,80,23,2,0.2901234567901230,0.0308641975308641,緑
槐,随筆,21,5,0,0.25,0.0227272727272727,緑
小杉未醒氏,人物記,23,6,0,0.2708333333333330,0.0208333333333333,緑
老いたる素戔嗚尊,小説,371,99,8,0.2674731182795700,0.0228494623655914,緑
老年,小説,100,26,2,0.2623762376237620,0.0247524752475247,緑
長江游記,紀行文,233,61,6,0.2628205128205130,0.0277777777777777,緑
佐藤春夫氏,人物記,33,9,0,0.2794117647058820,0.0147058823529411,緑
追憶,回想,401,111,6,0.277363184079602,0.0161691542288557,緑
