file,genre,total,a,b,p_a_s,p_b_s
素戔嗚尊,小説,1297,375,97,0.28929121725731893,0.075115562403698
十円札,小説,281,63,24,0.225177304964539,0.08687943262411348
寒さ,小説,148,36,13,0.24496644295302014,0.09060402684563758
素描三題,随筆,91,21,8,0.23369565217391305,0.09239130434782608
春の夜,小説,86,23,7,0.27011494252873564,0.08620689655172414
桃太郎,小説,142,36,10,0.25524475524475526,0.07342657342657342
「侏儒の言葉」の序,序文,5,1,0,0.25,0.08333333333333333
わが散文詩,散文詩,151,38,12,0.2532894736842105,0.08223684210526316
才一巧亦不二,随筆,18,5,2,0.2894736842105263,0.13157894736842105
balthasar,翻訳,414,103,45,0.2493975903614458,0.10963855421686747
講演軍記,紀行文,22,5,2,0.2391304347826087,0.10869565217391304
夢_1,随筆,27,6,3,0.23214285714285715,0.125
手巾,小説,197,43,26,0.2196969696969697,0.13383838383838384
「支那游記」自序,序文,10,3,0,0.3181818181818182,0.045454545454545456
南京の基督,小説,235,70,11,0.298728813559322,0.048728813559322036
仙人,小説,140,30,4,0.21631205673758866,0.031914893617021274
食物として,随筆,15,3,0,0.21875,0.03125
二人の友,回想,45,10,1,0.22826086956521738,0.03260869565217391
都会で,随筆,40,9,1,0.23170731707317074,0.036585365853658534
本所両国_1,随筆,753,186,38,0.2473474801061008,0.05106100795755968
本所両国,随筆,782,189,42,0.24201787994891444,0.05427841634738186
Ｏ君の新秋,小説,62,15,3,0.24603174603174602,0.05555555555555555
少年,小説,559,127,31,0.22767857142857142,0.05625
毛利先生,小説,285,66,14,0.23251748251748253,0.050699300699300696
犬養君に就いて,人物記,12,3,0,0.2692307692307692,0.038461538461538464
一夕話,小説,224,61,10,0.2733333333333333,0.04666666666666667
妙な話,小説,133,34,6,0.2574626865671642,0.048507462686567165
たね子の憂鬱,小説,151,17,5,0.11513157894736842,0.03618421052631579
或阿呆の一生,小説,490,79,10,0.16191446028513237,0.021384928716904276
雪,小説,25,4,0,0.17307692307692307,0.019230769230769232
小説の読者,評論,23,4,0,0.1875,0.020833333333333332
鴨猟,追悼文,18,3,0,0.18421052631578946,0.02631578947368421
三つの窓,小説,243,48,7,0.1987704918032787,0.030737704918032786
ひょっとこ,小説,173,34,4,0.19827586206896552,0.02586206896551724
彼,小説,192,39,4,0.20466321243523317,0.023316062176165803
保吉の手帳から,小説,345,63,14,0.18352601156069365,0.04190751445086705
玄鶴山房,小説,441,83,16,0.18891402714932126,0.03733031674208145
夢,随筆,216,39,7,0.18202764976958524,0.03456221198156682
忘れられぬ印象,紀行文,13,2,0,0.17857142857142858,0.03571428571428571
久米正雄,人物記,17,2,0,0.1388888888888889,0.027777777777777776
虱,小説,129,18,3,0.1423076923076923,0.026923076923076925
おぎん,小説,169,28,5,0.1676470588235294,0.03235294117647059
二人の紅毛畫家,評論,14,2,0,0.16666666666666666,0.03333333333333333
忠義,小説,445,66,14,0.1491031390134529,0.032511210762331835
魚河岸,小説,74,11,2,0.15333333333333332,0.03333333333333333
動物園,小説,124,20,7,0.164,0.06
影,小説,374,67,20,0.18,0.05466666666666667
飯田蛇笏,人物記,64,11,3,0.17692307692307693,0.05384615384615385
海のほとり,小説,241,42,15,0.1756198347107438,0.0640495867768595
鼠小僧次郎吉,小説,309,56,18,0.18225806451612903,0.05967741935483871
馬の脚,小説,420,87,17,0.20783847980997625,0.04156769596199525
さまよえる猶太人,小説,185,36,8,0.19623655913978494,0.0456989247311828
上海游記,紀行文,1174,234,54,0.19957446808510637,0.04638297872340426
大正十二年九月一日の大震に際して,随筆,311,60,15,0.19391025641025642,0.049679487179487176
東京小品,小説,112,21,5,0.1902654867256637,0.048672566371681415
酒虫,小説,199,42,12,0.2125,0.0625
山鴫,小説,245,47,14,0.19308943089430894,0.05894308943089431
芋粥,小説,419,85,22,0.20357142857142857,0.05357142857142857
あばばばば,小説,261,42,11,0.16221374045801526,0.04389312977099236
お富の貞操,小説,323,50,14,0.1558641975308642,0.044753086419753084
軍艦金剛航海記,記録文,207,30,9,0.1466346153846154,0.04567307692307692
歯車,小説,955,147,48,0.15428870292887029,0.05073221757322176
歯車_1,小説,940,138,49,0.14718384697130713,0.052603613177470775
耳目記,断章,21,3,1,0.1590909090909091,0.06818181818181818
路上,小説,1357,209,88,0.15427098674521356,0.06516936671575847
将軍,小説,602,86,41,0.14344941956882257,0.06882255389718077
蜃気楼,小説,213,31,13,0.14719626168224298,0.0630841121495327
京都日記,紀行文,106,14,6,0.13551401869158877,0.06074766355140187
LOS CAPRICHOS,散文詩,230,28,15,0.12337662337662338,0.0670995670995671
年末の一日,小説,108,14,7,0.13302752293577982,0.06880733944954129
亦一説？,アンケート,17,5,0,0.3055555555555556,0.027777777777777776
clarimonde,翻訳,849,263,20,0.31,0.02411764705882353
続澄江堂雑記,随筆,62,19,1,0.30952380952380953,0.023809523809523808
島木赤彦氏,追悼文,48,13,1,0.2755102040816326,0.030612244897959183
漱石山房の冬,小説,80,23,2,0.29012345679012347,0.030864197530864196
槐,随筆,21,5,0,0.25,0.022727272727272728
小杉未醒氏,人物記,23,6,0,0.2708333333333333,0.020833333333333332
老いたる素戔嗚尊,小説,371,99,8,0.2674731182795699,0.0228494623655914
老年,小説,100,26,2,0.2623762376237624,0.024752475247524754
長江游記,紀行文,233,61,6,0.26282051282051283,0.027777777777777776
佐藤春夫氏,人物記,33,9,0,0.27941176470588236,0.014705882352941176
追憶,回想,401,111,6,0.277363184079602,0.01616915422885572
鑑定,随筆,30,8,0,0.27419354838709675,0.016129032258064516
澄江堂雑記,随筆,559,167,8,0.29910714285714285,0.015178571428571428
東京に生れて,アンケート,28,8,0,0.29310344827586204,0.017241379310344827
西洋画のやうな日本画,評論,32,9,0,0.2878787878787879,0.015151515151515152
一番気乗のする時,随筆,39,10,0,0.2625,0.0125
滝田哲太郎氏,追悼文,38,10,0,0.2692307692307692,0.01282051282051282
文章と言葉と,随筆,29,7,0,0.25,0.016666666666666666
煙管,小説,201,50,2,0.25,0.012376237623762377
秋,小説,369,93,5,0.2527027027027027,0.014864864864864866
風変りな作品に就いて,随筆,36,9,0,0.25675675675675674,0.013513513513513514
愛読書の印象,随筆,43,13,0,0.3068181818181818,0.011363636363636364
一つの作が出来上るまで,随筆,44,13,0,0.3,0.011111111111111112
江口渙氏の事,人物記,47,14,0,0.3020833333333333,0.010416666666666666
平田先生の翻訳,評論,39,12,0,0.3125,0.0125
鷺と鴛鴦,随筆,41,13,0,0.32142857142857145,0.011904761904761904
蜜柑_1,小説,59,18,0,0.30833333333333335,0.008333333333333333
蜜柑_2,小説,59,18,0,0.30833333333333335,0.008333333333333333
蛙,小説,61,18,0,0.29838709677419356,0.008064516129032258
蜜柑,小説,60,18,0,0.30327868852459017,0.00819672131147541
十本の針,断章,80,24,0,0.30246913580246915,0.006172839506172839
変遷その他,随筆,93,27,0,0.2925531914893617,0.005319148936170213
支那の画,随筆,54,12,0,0.22727272727272727,0.00909090909090909
あの頃の自分の事,小説,420,101,3,0.24109263657957244,0.00831353919239905
拊掌談,断章,65,16,0,0.25,0.007575757575757576
好色,小説,382,88,2,0.2310704960835509,0.006527415143603133
孤独地獄,小説,89,21,0,0.2388888888888889,0.005555555555555556
大導寺信輔の半生,小説,463,119,2,0.25754310344827586,0.005387931034482759
大導寺信輔の半生_1,小説,463,119,2,0.25754310344827586,0.005387931034482759
お時儀,小説,143,36,0,0.2534722222222222,0.003472222222222222
枯野抄,小説,135,36,0,0.26838235294117646,0.003676470588235294
僕の友だち二三人,人物記,64,17,0,0.2692307692307692,0.007692307692307693
鼻,小説,165,43,1,0.2620481927710843,0.009036144578313253
大川の水,随筆,72,20,0,0.2808219178082192,0.00684931506849315
或社会主義者,小説,50,14,0,0.28431372549019607,0.00980392156862745
解嘲,評論,136,49,0,0.3613138686131387,0.0036496350364963502
機関車を見ながら,随筆,73,27,0,0.3716216216216216,0.006756756756756757
或旧友へ送る手記,遺書,115,43,0,0.375,0.004310344827586207
続西方の人,小説,277,105,1,0.37949640287769787,0.00539568345323741
女,小説,53,19,0,0.3611111111111111,0.009259259259259259
松江印象記,紀行文,58,21,0,0.3644067796610169,0.00847457627118644
第四の夫から,小説,87,30,0,0.3465909090909091,0.005681818181818182
続芭蕉雑記,評論,76,27,0,0.35714285714285715,0.006493506493506494
闇中問答,小説,324,111,0,0.34307692307692306,0.0015384615384615385
僻見,評論,600,205,0,0.34193011647254573,0.0008319467554076539
西方の人,小説,516,176,0,0.3413926499032882,0.0009671179883945841
文芸的な、余りに文芸的な,文学論,1892,571,2,0.3019017432646593,0.0013206550449022716
南瓜,小説,93,29,0,0.31382978723404253,0.005319148936170213
芸術その他,文学論,135,45,0,0.33455882352941174,0.003676470588235294
リチヤアド・バアトン訳「一千一夜物語」に就いて,談話,117,38,0,0.326271186440678,0.00423728813559322
金春会の「隅田川」,劇評,113,36,0,0.3201754385964912,0.0043859649122807015
点心,随筆,252,82,0,0.32608695652173914,0.001976284584980237
羅生門,小説,161,49,0,0.3055555555555556,0.0030864197530864196
羅生門_1,小説,162,51,0,0.3159509202453988,0.003067484662576687
又一説？,アンケート,21,9,0,0.4318181818181818,0.022727272727272728
龍村平蔵氏の芸術,評論,23,10,0,0.4375,0.020833333333333332
槍ヶ嶽紀行,紀行文,123,49,3,0.39919354838709675,0.028225806451612902
侏儒の言葉,断章,1241,469,26,0.3780193236714976,0.0213365539452496
侏儒の言葉_1,断章,1050,403,26,0.3839200761179829,0.02521408182683159
野人生計事,随筆,142,54,3,0.3811188811188811,0.024475524475524476
或敵打の話,小説,274,96,8,0.3509090909090909,0.03090909090909091
「仮面」の人々,回想,20,7,0,0.35714285714285715,0.023809523809523808
猿蟹合戦,小説,65,23,1,0.3560606060606061,0.022727272727272728
発句私見,評論,43,17,0,0.3977272727272727,0.011363636363636364
入社の辞,感想,29,11,0,0.38333333333333336,0.016666666666666666
讀書の態度,随筆,32,12,0,0.3787878787878788,0.015151515151515152
塵労,小説,25,8,0,0.3269230769230769,0.019230769230769232
偽者二題,随筆,27,9,0,0.3392857142857143,0.017857142857142856
女体,小説,27,9,0,0.3392857142857143,0.017857142857142856
羅生門の後に,跋文,50,17,0,0.3431372549019608,0.00980392156862745
身のまはり,随筆,44,15,0,0.34444444444444444,0.011111111111111112
後世,随筆,32,11,0,0.3484848484848485,0.015151515151515152
日本の女,随筆,191,65,2,0.3411458333333333,0.013020833333333334
谷崎潤一郎氏,人物記,31,6,0,0.203125,0.015625
三つのなぜ,小説,107,23,1,0.2175925925925926,0.013888888888888888
しるこ,随筆,38,8,0,0.21794871794871795,0.01282051282051282
詩集,小説,38,8,0,0.21794871794871795,0.01282051282051282
蒐書,随筆,27,6,0,0.23214285714285715,0.017857142857142856
俳画展覧会を観て,評論,28,6,0,0.22413793103448276,0.017241379310344827
celt_no_hakumei,翻訳,148,32,2,0.2181208053691275,0.016778523489932886
世の中と女,随筆,29,6,0,0.21666666666666667,0.016666666666666666
日本小説の支那訳,評論,50,10,0,0.20588235294117646,0.00980392156862745
着物,小説,49,10,0,0.21,0.01
続野人生計事,随筆,492,98,5,0.1997971602434077,0.011156186612576065
豊島与志雄氏の事,人物記,40,8,0,0.2073170731707317,0.012195121951219513
