file,genre,total,a,b,p_a_s,p_b_s
子供の病気,小説,253,32,22,0.1279527559055118,0.08858267716535433
彼　第二,小説,222,27,20,0.12331838565022421,0.09192825112107623
お富の貞操,小説,323,39,25,0.12191358024691358,0.0787037037037037
仏蘭西文学と僕,随筆,71,8,5,0.11805555555555555,0.0763888888888889
伝吉の敵打ち,小説,189,25,12,0.13421052631578947,0.06578947368421052
京都日記,紀行文,106,14,6,0.13551401869158877,0.06074766355140187
沼,小説,39,5,2,0.1375,0.0625
将軍,小説,602,82,45,0.13681592039800994,0.07545605306799337
湖南の扇,小説,312,40,22,0.12939297124600638,0.07188498402555911
点鬼簿,小説,163,21,11,0.13109756097560976,0.0701219512195122
お律と子等と,小説,1011,168,45,0.166501976284585,0.04496047430830039
貉,小説,70,11,3,0.1619718309859155,0.04929577464788732
路上,小説,1357,229,68,0.16899852724594994,0.05044182621502209
celt_no_hakumei,翻訳,148,25,9,0.17114093959731544,0.06375838926174497
蜃気楼,小説,213,31,13,0.14719626168224298,0.0630841121495327
豊島与志雄氏の事,人物記,40,6,2,0.15853658536585366,0.06097560975609756
水の三日,初期文章,131,14,7,0.10984848484848485,0.056818181818181816
樗牛の事,評論,90,12,4,0.13736263736263737,0.04945054945054945
袈裟と盛遠,小説,221,27,10,0.12387387387387387,0.0472972972972973
偽者二題,随筆,27,3,6,0.125,0.23214285714285715
女,小説,53,7,12,0.1388888888888889,0.23148148148148148
或敵打の話,小説,274,37,67,0.13636363636363635,0.24545454545454545
才一巧亦不二,随筆,18,3,4,0.18421052631578946,0.23684210526315788
槍ヶ嶽紀行,紀行文,123,21,31,0.17338709677419356,0.2540322580645161
滝田哲太郎君,追悼文,41,10,5,0.25,0.13095238095238096
滝田哲太郎氏,追悼文,38,6,4,0.16666666666666666,0.11538461538461539
Ｏ君の新秋,小説,62,11,7,0.18253968253968253,0.11904761904761904
身のまはり,随筆,44,9,6,0.2111111111111111,0.14444444444444443
南京の基督,小説,235,44,37,0.1885593220338983,0.15889830508474576
素戔嗚尊,小説,1297,247,225,0.1906779661016949,0.17372881355932204
素描三題,随筆,91,15,14,0.16847826086956522,0.15760869565217392
寒さ,小説,148,28,21,0.1912751677852349,0.14429530201342283
蜜柑,小説,60,10,8,0.1721311475409836,0.13934426229508196
蜜柑_1,小説,59,10,8,0.175,0.14166666666666666
蜜柑_2,小説,59,10,8,0.175,0.14166666666666666
はつきりした形をとる為めに,随筆,39,17,0,0.4375,0.0125
長崎小品,戯曲,120,51,1,0.4256198347107438,0.012396694214876033
侏儒の言葉_1,断章,1050,418,11,0.3981921979067555,0.010941960038058992
手紙,小説,194,78,2,0.4025641025641026,0.01282051282051282
讀書の態度,随筆,32,12,0,0.3787878787878788,0.015151515151515152
後世,随筆,32,11,0,0.3484848484848485,0.015151515151515152
河童,小説,1298,469,20,0.36143187066974597,0.01578137028483449
河童_1,小説,1299,468,20,0.36038461538461536,0.015769230769230768
おしの,小説,150,54,3,0.3609271523178808,0.023178807947019868
或旧友へ送る手記,遺書,115,41,2,0.3577586206896552,0.021551724137931036
温泉だより,小説,221,84,5,0.38063063063063063,0.024774774774774775
野人生計事,随筆,142,54,3,0.3811188811188811,0.024475524475524476
報恩記,小説,464,181,9,0.3903225806451613,0.02043010752688172
侏儒の言葉,断章,1241,468,27,0.37721417069243157,0.02214170692431562
露譯短篇集の序,序文,24,9,0,0.38,0.02
日本の女,随筆,191,63,4,0.3307291666666667,0.0234375
第四の夫から,小説,87,28,2,0.32386363636363635,0.028409090909090908
アグニの神,小説,278,91,4,0.3279569892473118,0.016129032258064516
アグニの神_1,小説,278,90,4,0.32437275985663083,0.016129032258064516
奇遇,小説,219,71,3,0.325,0.015909090909090907
文学好きの家庭から,アンケート,23,7,0,0.3125,0.020833333333333332
文放古,小説,133,42,2,0.31716417910447764,0.018656716417910446
亦一説？,アンケート,17,5,0,0.3055555555555556,0.027777777777777776
西郷隆盛,小説,319,94,9,0.2953125,0.0296875
桃太郎,小説,142,43,3,0.3041958041958042,0.024475524475524476
杜子春,小説,267,79,6,0.2966417910447761,0.024253731343283583
杜子春_1,小説,267,79,6,0.2966417910447761,0.024253731343283583
十円札,小説,281,81,6,0.28900709219858156,0.02304964539007092
文芸的な、余りに文芸的な,文学論,1892,531,42,0.2807712625462229,0.022451135763338615
小杉未醒氏,人物記,23,6,0,0.2708333333333333,0.020833333333333332
佐藤春夫氏,人物記,33,9,0,0.27941176470588236,0.014705882352941176
鑑定,随筆,30,8,0,0.27419354838709675,0.016129032258064516
南瓜,小説,93,28,1,0.30319148936170215,0.015957446808510637
東京に生れて,アンケート,28,8,0,0.29310344827586204,0.017241379310344827
西洋画のやうな日本画,評論,32,9,0,0.2878787878787879,0.015151515151515152
悪魔,小説,45,13,0,0.29347826086956524,0.010869565217391304
三つの宝,戯曲,328,101,3,0.30851063829787234,0.010638297872340425
江口渙氏の事,人物記,47,14,0,0.3020833333333333,0.010416666666666666
澄江堂雑記,随筆,559,170,5,0.3044642857142857,0.009821428571428571
十本の針,断章,80,24,0,0.30246913580246915,0.006172839506172839
蛙,小説,61,18,0,0.29838709677419356,0.008064516129032258
饒舌,小説,60,18,0,0.30327868852459017,0.00819672131147541
解嘲,評論,136,48,1,0.354014598540146,0.010948905109489052
鷺と鴛鴦,随筆,41,13,0,0.32142857142857145,0.011904761904761904
東西問答,随筆,51,17,0,0.33653846153846156,0.009615384615384616
正岡子規,人物記,39,13,0,0.3375,0.0125
僻見,評論,600,202,3,0.3369384359400998,0.005823627287853577
芸術その他,文学論,135,45,0,0.33455882352941174,0.003676470588235294
二人小町,戯曲,316,121,2,0.3832807570977918,0.007886435331230283
尼提,小説,70,25,0,0.3591549295774648,0.007042253521126761
機関車を見ながら,随筆,73,27,0,0.3716216216216216,0.006756756756756757
格さんと食慾,人物記,19,10,0,0.525,0.025
雛,小説,387,197,8,0.509020618556701,0.02190721649484536
女仙,小説,33,18,0,0.5441176470588235,0.014705882352941176
文芸鑑賞講座,文学論,299,170,5,0.5683333333333334,0.018333333333333333
MENSURA ZOILI,小説,151,69,0,0.45723684210526316,0.003289473684210526
不思議な島,小説,247,129,2,0.5221774193548387,0.010080645161290322
恋愛と夫婦愛とを混同しては不可ぬ,随筆,43,22,0,0.5113636363636364,0.011363636363636364
プロレタリア文学論,評論,51,25,0,0.49038461538461536,0.009615384615384616
小説の戯曲化,評論,61,30,0,0.49193548387096775,0.008064516129032258
蜘蛛の糸,小説,62,31,0,0.5,0.007936507936507936
英雄の器,小説,69,35,2,0.5071428571428571,0.03571428571428571
運,小説,205,99,7,0.4830097087378641,0.03640776699029126
片恋,小説,182,84,5,0.46174863387978143,0.030054644808743168
秋山図,小説,230,107,6,0.4653679653679654,0.02813852813852814
又一説？,アンケート,21,9,0,0.4318181818181818,0.022727272727272728
カルメン,小説,66,29,1,0.44029850746268656,0.022388059701492536
龍村平蔵氏の芸術,評論,23,10,0,0.4375,0.020833333333333332
発句私見,評論,43,16,1,0.375,0.03409090909090909
妖婆,小説,728,302,30,0.4149519890260631,0.04183813443072702
藪の中,小説,276,113,9,0.40974729241877256,0.03429602888086643
藪の中_1,小説,275,112,9,0.4076086956521739,0.034420289855072464
「菊池寛全集」の序,序文,57,26,2,0.45689655172413796,0.04310344827586207
或日の大石内蔵助,小説,214,101,10,0.4720930232558139,0.04883720930232558
邪宗門,小説,766,342,44,0.44654498044328556,0.058018252933507174
黒衣聖母,小説,112,49,5,0.43805309734513276,0.048672566371681415
三右衛門の罪,小説,251,98,13,0.39087301587301587,0.05357142857142857
猿,小説,153,64,9,0.41883116883116883,0.06168831168831169
手巾,小説,197,59,10,0.3005050505050505,0.05303030303030303
闇中問答,小説,324,99,12,0.30615384615384617,0.038461538461538464
文章,小説,240,74,10,0.3091286307053942,0.043568464730290454
balthasar,翻訳,414,129,19,0.31204819277108437,0.046987951807228916
「支那游記」自序,序文,10,3,0,0.3181818181818182,0.045454545454545456
無題,断章,10,3,0,0.3181818181818182,0.045454545454545456
入社の辞,感想,29,10,1,0.35,0.05
猿蟹合戦,小説,65,22,2,0.3409090909090909,0.03787878787878788
魔術,小説,182,63,7,0.3469945355191257,0.040983606557377046
僕の友だち二三人,人物記,64,15,2,0.23846153846153847,0.038461538461538464
鼻,小説,165,38,6,0.2319277108433735,0.0391566265060241
変遷その他,随筆,93,23,4,0.25,0.047872340425531915
島木赤彦氏,追悼文,48,12,2,0.25510204081632654,0.05102040816326531
結婚難並びに恋愛難,小説,77,18,3,0.23717948717948717,0.04487179487179487
長江游記,紀行文,233,56,11,0.24145299145299146,0.049145299145299144
大川の水,随筆,72,18,2,0.2534246575342466,0.03424657534246575
少年,小説,559,142,16,0.2544642857142857,0.029464285714285714
点心,随筆,252,71,11,0.2826086956521739,0.045454545454545456
犬養君に就いて,人物記,12,3,0,0.2692307692307692,0.038461538461538464
近頃の幽霊,随筆,61,16,2,0.2661290322580645,0.04032258064516129
羅生門,小説,161,44,5,0.27469135802469136,0.033950617283950615
羅生門_1,小説,162,46,5,0.2852760736196319,0.03374233128834356
一夕話,小説,224,63,8,0.2822222222222222,0.03777777777777778
続澄江堂雑記,随筆,62,18,2,0.29365079365079366,0.03968253968253968
金春会の「隅田川」,劇評,113,30,6,0.2675438596491228,0.05701754385964912
わが散文詩,散文詩,151,41,9,0.2730263157894737,0.0625
平田先生の翻訳,評論,39,10,2,0.2625,0.0625
「仮面」の人々,回想,20,6,1,0.30952380952380953,0.07142857142857142
続西方の人,小説,277,88,18,0.3183453237410072,0.06654676258992806
春の夜,小説,86,24,6,0.28160919540229884,0.07471264367816093
松江印象記,紀行文,58,17,4,0.2966101694915254,0.07627118644067797
毛利先生,小説,285,63,17,0.22202797202797203,0.06118881118881119
老年,小説,100,22,6,0.22277227722772278,0.06435643564356436
妙な話,小説,133,32,8,0.24253731343283583,0.06343283582089553
新緑の庭,断章,22,5,1,0.2391304347826087,0.06521739130434782
本所両国,随筆,782,182,49,0.2330779054916986,0.06321839080459771
本所両国_1,随筆,753,174,50,0.23143236074270557,0.06697612732095491
奇怪な再会,小説,731,153,59,0.20969945355191258,0.08128415300546447
神神の微笑,小説,308,58,21,0.18932038834951456,0.06957928802588997
枯野抄,小説,135,28,8,0.20955882352941177,0.0625
槐,随筆,21,4,1,0.20454545454545456,0.06818181818181818
風変りな作品に就いて,随筆,36,7,2,0.20270270270270271,0.06756756756756757
漱石山房の冬,小説,80,20,5,0.25308641975308643,0.06790123456790123
clarimonde,翻訳,849,218,65,0.2570588235294118,0.07705882352941176
西方の人,小説,516,136,40,0.2640232108317215,0.07833655705996131
羅生門の後に,跋文,50,13,4,0.2647058823529412,0.08823529411764706
夢_1,随筆,27,7,2,0.26785714285714285,0.08928571428571429
女体,小説,27,7,2,0.26785714285714285,0.08928571428571429
塵労,小説,25,6,2,0.25,0.09615384615384616
「侏儒の言葉」の序,序文,5,1,0,0.25,0.08333333333333333
リチヤアド・バアトン訳「一千一夜物語」に就いて,談話,117,28,10,0.24152542372881355,0.08898305084745763
黄粱夢,小説,38,9,3,0.24358974358974358,0.08974358974358974
一つの作が出来上るまで,随筆,44,9,4,0.2111111111111111,0.1
愛読書の印象,随筆,43,9,4,0.2159090909090909,0.10227272727272728
一人の無名作家,アンケート,14,3,1,0.23333333333333334,0.1
続芭蕉雑記,評論,76,19,8,0.2532467532467532,0.11038961038961038
講演軍記,紀行文,22,5,2,0.2391304347826087,0.10869565217391304
人及び芸術家としての薄田泣菫氏,人物記,71,9,1,0.13194444444444445,0.020833333333333332
道祖問答,小説,74,10,1,0.14,0.02
続文芸的な、余りに文芸的な,評論,154,20,2,0.13225806451612904,0.016129032258064516
俊寛,小説,524,63,9,0.12095238095238095,0.018095238095238095
創作,小説,75,9,1,0.125,0.019736842105263157
虱,小説,129,17,4,0.1346153846153846,0.03461538461538462
久米正雄,人物記,17,2,0,0.1388888888888889,0.027777777777777776
父,小説,124,16,3,0.132,0.028
首が落ちた話,小説,197,33,3,0.1691919191919192,0.017676767676767676
LOS CAPRICHOS,散文詩,230,38,5,0.16666666666666666,0.023809523809523808
葱,小説,201,33,5,0.16584158415841585,0.027227722772277228
忠義,小説,445,68,12,0.15358744394618834,0.028026905829596414
金将軍,小説,91,13,2,0.14673913043478262,0.02717391304347826
校正後に,跋文,66,10,1,0.15671641791044777,0.022388059701492536
犬と笛,小説,234,34,5,0.14680851063829786,0.023404255319148935
往生絵巻,戯曲,174,19,4,0.11142857142857143,0.025714285714285714
奉教人の死,小説,337,36,10,0.10798816568047337,0.03106508875739645
悠々荘,小説,74,7,2,0.1,0.03333333333333333
偸盗,小説,1439,153,17,0.10659722222222222,0.012152777777777778
春の日のさした往来をぶらぶら一人歩いてゐる,随筆,41,4,0,0.10714285714285714,0.011904761904761904
病牀雑記,随筆,47,4,0,0.09375,0.010416666666666666
霜夜,随筆,38,3,0,0.08974358974358974,0.01282051282051282
仙人_2,小説,26,2,0,0.09259259259259259,0.018518518518518517
産屋,小説,30,3,0,0.11290322580645161,0.016129032258064516
兄貴のような心持,人物記,22,2,0,0.10869565217391304,0.021739130434782608
雑筆,随筆,339,36,6,0.10735294117647058,0.01911764705882353
仙人,小説,140,27,7,0.1950354609929078,0.05319148936170213
東京小品,小説,112,21,5,0.1902654867256637,0.048672566371681415
鼠小僧次郎吉,小説,309,63,11,0.20483870967741935,0.037096774193548385
芋粥,小説,419,90,17,0.2154761904761905,0.041666666666666664
上海游記,紀行文,1174,237,51,0.20212765957446807,0.04382978723404255
雑信一束,紀行文,56,11,2,0.20175438596491227,0.043859649122807015
早春,小説,129,23,3,0.18076923076923077,0.026923076923076925
鴨猟,追悼文,18,3,0,0.18421052631578946,0.02631578947368421
日本小説の支那訳,評論,50,9,1,0.18627450980392157,0.029411764705882353
着物,小説,49,9,1,0.19,0.03
本の事,随筆,110,19,4,0.17567567567567569,0.04054054054054054
動物園,小説,124,23,4,0.188,0.036
忘れられぬ印象,紀行文,13,2,0,0.17857142857142858,0.03571428571428571
永久に不愉快な二重生活,アンケート,13,2,0,0.17857142857142858,0.03571428571428571
二人の紅毛畫家,評論,14,2,0,0.16666666666666666,0.03333333333333333
軍艦金剛航海記,記録文,207,32,7,0.15625,0.036057692307692304
文章と言葉と,随筆,29,7,0,0.25,0.016666666666666666
一番気乗のする時,随筆,39,10,0,0.2625,0.0125
酒虫,小説,199,52,2,0.2625,0.0125
二人の友,回想,45,11,0,0.25,0.010869565217391304
白,小説,316,75,3,0.23817034700315456,0.011041009463722398
谷崎潤一郎氏,人物記,31,6,0,0.203125,0.015625
小説の読者,評論,23,4,0,0.1875,0.020833333333333332
続野人生計事,随筆,492,94,9,0.19168356997971603,0.019269776876267748
ひょっとこ,小説,173,35,3,0.20402298850574713,0.020114942528735632
イズムと云ふ語の意味次第,評論,21,4,0,0.20454545454545456,0.022727272727272728
お時儀,小説,143,32,4,0.22569444444444445,0.03125
食物として,随筆,15,3,0,0.21875,0.03125
さまよえる猶太人,小説,185,40,4,0.21774193548387097,0.024193548387096774
母,小説,335,74,8,0.22172619047619047,0.025297619047619048
仙人_1,小説,123,27,3,0.2217741935483871,0.028225806451612902
孤独地獄,小説,89,19,2,0.21666666666666667,0.027777777777777776
煙草と悪魔,小説,175,41,2,0.23579545454545456,0.014204545454545454
しるこ,随筆,38,8,0,0.21794871794871795,0.01282051282051282
好色,小説,382,85,5,0.22323759791122716,0.014360313315926894
拊掌談,断章,65,15,1,0.23484848484848486,0.022727272727272728
煙管,小説,201,48,4,0.2400990099009901,0.022277227722772276
世の中と女,随筆,29,6,0,0.21666666666666667,0.016666666666666666
俳画展覧会を観て,評論,28,6,0,0.22413793103448276,0.017241379310344827
蒐書,随筆,27,6,0,0.23214285714285715,0.017857142857142856
戯作三昧,小説,665,154,12,0.23198198198198197,0.01876876876876877
戯作三昧_1,小説,665,155,12,0.2334834834834835,0.01876876876876877
大正十二年九月一日の大震に際して,随筆,311,69,6,0.22275641025641027,0.020833333333333332
馬の脚,小説,420,96,8,0.22921615201900236,0.020190023752969122
支那の画,随筆,54,12,0,0.22727272727272727,0.00909090909090909
青年と死,戯曲,220,50,1,0.22850678733031674,0.006787330316742082
芭蕉雑記,評論,478,106,1,0.22233820459290188,0.003131524008350731
野呂松人形,小説,107,22,0,0.20833333333333334,0.004629629629629629
パステルの龍,翻訳,57,8,0,0.14655172413793102,0.008620689655172414
僕は,断章,40,6,0,0.15853658536585366,0.012195121951219513
大久保湖州,評論,340,68,3,0.20087976539589442,0.010263929618768328
おぎん,小説,169,32,1,0.19117647058823528,0.008823529411764706
じゅりあの・吉助,小説,58,11,0,0.19491525423728814,0.00847457627118644
鴉片,随筆,117,20,1,0.17372881355932204,0.012711864406779662
翻訳小品,翻訳,45,8,0,0.18478260869565216,0.010869565217391304
あばばばば,小説,261,50,3,0.19274809160305342,0.013358778625954198
合理的、同時に多量の人間味,人物記,34,6,0,0.18571428571428572,0.014285714285714285
囈語,断章,9,5,0,0.55,0.05
二つの手紙,小説,298,188,12,0.6304347826086957,0.04180602006688963
地獄変,小説,522,321,23,0.6147227533460803,0.044933078393881457
地獄變,小説,527,325,23,0.6164772727272727,0.04450757575757576
或恋愛小説,小説,195,125,1,0.6403061224489796,0.007653061224489796
教訓談,小説,33,22,0,0.6617647058823529,0.014705882352941176
久米正雄氏の事,人物記,19,12,0,0.625,0.025
竜,小説,132,92,3,0.6954887218045113,0.02631578947368421
ポーの片影,随筆,64,41,8,0.6384615384615384,0.13076923076923078
開化の良人,小説,251,137,38,0.5456349206349206,0.1527777777777778
疑惑,小説,267,137,29,0.5130597014925373,0.11007462686567164
捨児,小説,120,63,10,0.5247933884297521,0.08677685950413223
沼地,小説,62,31,5,0.5,0.0873015873015873
剛才人と柔才人と,アンケート,15,5,1,0.34375,0.09375
haruno_shinzo,翻訳,134,58,10,0.43333333333333335,0.07777777777777778
装幀に就いての私の意見,アンケート,5,2,0,0.4166666666666667,0.08333333333333333
