file,genre,total,a,b,p_a_s,p_b_s,dendro_color
冬,小説,188,26,19,0.1402116402116400,0.1031746031746030,赤
山鴫,小説,245,37,24,0.1524390243902440,0.0995934959349593,赤
影,小説,374,52,35,0.14,0.0946666666666666,赤
海のほとり,小説,241,35,22,0.146694214876033,0.0929752066115702,赤
飯田蛇笏,人物記,64,9,5,0.1461538461538460,0.0846153846153846,赤
世之助の話,小説,216,29,18,0.1359447004608300,0.0852534562211981,赤
保吉の手帳から,小説,345,47,30,0.1372832369942200,0.088150289017341,赤
彼,小説,192,25,18,0.1321243523316060,0.0958549222797927,赤
子供の病気,小説,253,32,22,0.1279527559055120,0.0885826771653543,赤
彼　第二,小説,222,27,20,0.1233183856502240,0.0919282511210762,赤
お富の貞操,小説,323,39,25,0.1219135802469140,0.0787037037037037,赤
仏蘭西文学と僕,随筆,71,8,5,0.1180555555555560,0.0763888888888889,赤
伝吉の敵打ち,小説,189,25,12,0.1342105263157890,0.0657894736842105,赤
京都日記,紀行文,106,14,6,0.1355140186915890,0.0607476635514018,赤
沼,小説,39,5,2,0.1375,0.0625,赤
将軍,小説,602,82,45,0.1368159203980100,0.0754560530679933,赤
湖南の扇,小説,312,40,22,0.1293929712460060,0.0718849840255591,赤
点鬼簿,小説,163,21,11,0.1310975609756100,0.0701219512195122,赤
お律と子等と,小説,1011,168,45,0.166501976284585,0.0449604743083003,赤
貉,小説,70,11,3,0.1619718309859160,0.0492957746478873,赤
路上,小説,1357,229,68,0.1689985272459500,0.050441826215022,赤
celt_no_hakumei,翻訳,148,25,9,0.1711409395973150,0.0637583892617449,赤
蜃気楼,小説,213,31,13,0.1471962616822430,0.0630841121495327,赤
豊島与志雄氏の事,人物記,40,6,2,0.1585365853658540,0.0609756097560975,赤
水の三日,初期文章,131,14,7,0.1098484848484850,0.0568181818181818,赤
樗牛の事,評論,90,12,4,0.1373626373626370,0.0494505494505494,赤
袈裟と盛遠,小説,221,27,10,0.1238738738738740,0.0472972972972973,赤
偽者二題,随筆,27,3,6,0.125,0.2321428571428570,赤
女,小説,53,7,12,0.1388888888888890,0.2314814814814810,赤
或敵打の話,小説,274,37,67,0.1363636363636360,0.2454545454545450,赤
才一巧亦不二,随筆,18,3,4,0.1842105263157890,0.2368421052631580,赤
槍ヶ嶽紀行,紀行文,123,21,31,0.1733870967741940,0.2540322580645160,赤
滝田哲太郎君,追悼文,41,10,5,0.25,0.1309523809523810,赤
滝田哲太郎氏,追悼文,38,6,4,0.1666666666666670,0.1153846153846150,赤
Ｏ君の新秋,小説,62,11,7,0.1825396825396830,0.119047619047619,赤
身のまはり,随筆,44,9,6,0.2111111111111110,0.1444444444444440,赤
南京の基督,小説,235,44,37,0.1885593220338980,0.1588983050847460,赤
素戔嗚尊,小説,1297,247,225,0.1906779661016950,0.173728813559322,赤
素描三題,随筆,91,15,14,0.1684782608695650,0.1576086956521740,赤
寒さ,小説,148,28,21,0.1912751677852350,0.1442953020134230,赤
蜜柑,小説,60,10,8,0.1721311475409840,0.1393442622950820,赤
蜜柑_1,小説,59,10,8,0.175,0.1416666666666670,赤
蜜柑_2,小説,59,10,8,0.175,0.1416666666666670,赤
はつきりした形をとる為めに,随筆,39,17,0,0.4375,0.0125,紫
長崎小品,戯曲,120,51,1,0.4256198347107440,0.012396694214876,紫
侏儒の言葉_1,断章,1050,418,11,0.3981921979067560,0.0109419600380589,紫
手紙,小説,194,78,2,0.4025641025641030,0.0128205128205128,紫
讀書の態度,随筆,32,12,0,0.3787878787878790,0.0151515151515151,紫
後世,随筆,32,11,0,0.3484848484848490,0.0151515151515151,紫
河童,小説,1298,469,20,0.3614318706697460,0.0157813702848344,紫
河童_1,小説,1299,468,20,0.3603846153846150,0.0157692307692307,紫
おしの,小説,150,54,3,0.3609271523178810,0.0231788079470198,紫
或旧友へ送る手記,遺書,115,41,2,0.3577586206896550,0.021551724137931,紫
温泉だより,小説,221,84,5,0.3806306306306310,0.0247747747747747,紫
野人生計事,随筆,142,54,3,0.3811188811188810,0.0244755244755244,紫
報恩記,小説,464,181,9,0.3903225806451610,0.0204301075268817,紫
侏儒の言葉,断章,1241,468,27,0.3772141706924320,0.0221417069243156,紫
露譯短篇集の序,序文,24,9,0,0.38,0.02,紫
日本の女,随筆,191,63,4,0.3307291666666670,0.0234375,紫
第四の夫から,小説,87,28,2,0.3238636363636360,0.0284090909090909,紫
アグニの神,小説,278,91,4,0.3279569892473120,0.0161290322580645,紫
アグニの神_1,小説,278,90,4,0.3243727598566310,0.0161290322580645,紫
奇遇,小説,219,71,3,0.325,0.0159090909090909,紫
文学好きの家庭から,アンケート,23,7,0,0.3125,0.0208333333333333,紫
文反古,小説,133,42,2,0.3171641791044780,0.0186567164179104,紫
亦一説？,アンケート,17,5,0,0.3055555555555560,0.0277777777777777,紫
西郷隆盛,小説,319,94,9,0.2953125,0.0296875,紫
桃太郎,小説,142,43,3,0.3041958041958040,0.0244755244755244,紫
杜子春,小説,267,79,6,0.2966417910447760,0.0242537313432835,紫
杜子春_1,小説,267,79,6,0.2966417910447760,0.0242537313432835,紫
十円札,小説,281,81,6,0.2890070921985820,0.0230496453900709,紫
文芸的な、余りに文芸的な,文学論,1892,531,42,0.2807712625462230,0.0224511357633386,紫
小杉未醒氏,人物記,23,6,0,0.2708333333333330,0.0208333333333333,紫
佐藤春夫氏,人物記,33,9,0,0.2794117647058820,0.0147058823529411,紫
鑑定,随筆,30,8,0,0.2741935483870970,0.0161290322580645,紫
南瓜,小説,93,28,1,0.3031914893617020,0.0159574468085106,紫
東京に生れて,アンケート,28,8,0,0.293103448275862,0.0172413793103448,紫
西洋画のやうな日本画,評論,32,9,0,0.2878787878787880,0.0151515151515151,紫
悪魔,小説,45,13,0,0.2934782608695650,0.0108695652173913,紫
三つの宝,戯曲,328,101,3,0.3085106382978720,0.0106382978723404,紫
江口渙氏の事,人物記,47,14,0,0.3020833333333330,0.0104166666666666,紫
澄江堂雑記,随筆,559,170,5,0.3044642857142860,0.0098214285714285,紫
十本の針,断章,80,24,0,0.3024691358024690,0.0061728395061728,紫
蛙,小説,61,18,0,0.2983870967741940,0.0080645161290322,紫
饒舌,小説,60,18,0,0.3032786885245900,0.0081967213114754,紫
解嘲,評論,136,48,1,0.354014598540146,0.010948905109489,紫
鷺と鴛鴦,随筆,41,13,0,0.3214285714285710,0.0119047619047619,紫
東西問答,随筆,51,17,0,0.3365384615384620,0.0096153846153846,紫
正岡子規,人物記,39,13,0,0.3375,0.0125,紫
僻見,評論,600,202,3,0.3369384359401000,0.0058236272878535,紫
芸術その他,文学論,135,45,0,0.3345588235294120,0.0036764705882352,紫
二人小町,戯曲,316,121,2,0.3832807570977920,0.0078864353312302,紫
尼提,小説,70,25,0,0.3591549295774650,0.0070422535211267,紫
機関車を見ながら,随筆,73,27,0,0.3716216216216220,0.0067567567567567,紫
格さんと食慾,人物記,19,10,0,0.525,0.025,紫
雛,小説,387,197,8,0.509020618556701,0.0219072164948453,紫
女仙,小説,33,18,0,0.5441176470588240,0.0147058823529411,紫
文芸鑑賞講座,文学論,299,170,5,0.5683333333333330,0.0183333333333333,紫
MENSURA ZOILI,小説,151,69,0,0.4572368421052630,0.0032894736842105,紫
不思議な島,小説,247,129,2,0.5221774193548390,0.0100806451612903,紫
恋愛と夫婦愛とを混同しては不可ぬ,随筆,43,22,0,0.5113636363636360,0.0113636363636363,紫
プロレタリア文学論,評論,51,25,0,0.4903846153846150,0.0096153846153846,紫
小説の戯曲化,評論,61,30,0,0.4919354838709680,0.0080645161290322,紫
蜘蛛の糸,小説,62,31,0,0.5,0.0079365079365079,紫
英雄の器,小説,69,35,2,0.5071428571428570,0.0357142857142857,紫
運,小説,205,99,7,0.4830097087378640,0.0364077669902912,紫
片恋,小説,182,84,5,0.4617486338797810,0.0300546448087431,紫
秋山図,小説,230,107,6,0.4653679653679650,0.0281385281385281,紫
又一説？,アンケート,21,9,0,0.4318181818181820,0.0227272727272727,紫
カルメン,小説,66,29,1,0.4402985074626870,0.0223880597014925,紫
龍村平蔵氏の芸術,評論,23,10,0,0.4375,0.0208333333333333,紫
発句私見,評論,43,16,1,0.375,0.034090909090909,紫
妖婆,小説,728,302,30,0.4149519890260630,0.041838134430727,紫
藪の中,小説,276,113,9,0.4097472924187730,0.0342960288808664,紫
藪の中_1,小説,275,112,9,0.4076086956521740,0.0344202898550724,紫
「菊池寛全集」の序,序文,57,26,2,0.4568965517241380,0.043103448275862,紫
或日の大石内蔵助,小説,214,101,10,0.4720930232558140,0.0488372093023255,紫
邪宗門,小説,766,342,44,0.4465449804432860,0.0580182529335071,紫
黒衣聖母,小説,112,49,5,0.4380530973451330,0.0486725663716814,紫
三右衛門の罪,小説,251,98,13,0.3908730158730160,0.0535714285714285,紫
猿,小説,153,64,9,0.4188311688311690,0.0616883116883116,紫
手巾,小説,197,59,10,0.3005050505050510,0.053030303030303,紫
闇中問答,小説,324,99,12,0.3061538461538460,0.0384615384615384,紫
文章,小説,240,74,10,0.3091286307053940,0.0435684647302904,紫
balthasar,翻訳,414,129,19,0.3120481927710840,0.0469879518072289,紫
「支那游記」自序,序文,10,3,0,0.3181818181818180,0.0454545454545454,紫
無題,断章,10,3,0,0.3181818181818180,0.0454545454545454,紫
入社の辞,感想,29,10,1,0.35,0.05,紫
猿蟹合戦,小説,65,22,2,0.3409090909090910,0.0378787878787878,紫
魔術,小説,182,63,7,0.3469945355191260,0.040983606557377,紫
僕の友だち二三人,人物記,64,15,2,0.2384615384615380,0.0384615384615384,紫
鼻,小説,165,38,6,0.2319277108433740,0.0391566265060241,紫
変遷その他,随筆,93,23,4,0.25,0.0478723404255319,紫
島木赤彦氏,追悼文,48,12,2,0.2551020408163270,0.0510204081632653,紫
結婚難並びに恋愛難,小説,77,18,3,0.2371794871794870,0.0448717948717948,紫
長江游記,紀行文,233,56,11,0.2414529914529910,0.0491452991452991,紫
大川の水,随筆,72,18,2,0.2534246575342470,0.0342465753424657,紫
少年,小説,559,142,16,0.2544642857142860,0.0294642857142857,紫
点心,随筆,252,71,11,0.2826086956521740,0.0454545454545454,紫
犬養君に就いて,人物記,12,3,0,0.2692307692307690,0.0384615384615384,紫
近頃の幽霊,随筆,61,16,2,0.2661290322580650,0.0403225806451612,紫
羅生門,小説,161,44,5,0.2746913580246910,0.0339506172839506,紫
羅生門_1,小説,162,46,5,0.2852760736196320,0.0337423312883435,紫
一夕話,小説,224,63,8,0.2822222222222220,0.0377777777777777,紫
続澄江堂雑記,随筆,62,18,2,0.2936507936507940,0.0396825396825396,紫
金春会の「隅田川」,劇評,113,30,6,0.2675438596491230,0.0570175438596491,紫
わが散文詩,散文詩,151,41,9,0.2730263157894740,0.0625,紫
平田先生の翻訳,評論,39,10,2,0.2625,0.0625,紫
「仮面」の人々,回想,20,6,1,0.3095238095238100,0.0714285714285714,紫
続西方の人,小説,277,88,18,0.3183453237410070,0.066546762589928,紫
春の夜,小説,86,24,6,0.2816091954022990,0.0747126436781609,紫
松江印象記,紀行文,58,17,4,0.2966101694915250,0.0762711864406779,紫
毛利先生,小説,285,63,17,0.222027972027972,0.0611888111888111,紫
老年,小説,100,22,6,0.2227722772277230,0.0643564356435643,紫
妙な話,小説,133,32,8,0.2425373134328360,0.0634328358208955,紫
新緑の庭,断章,22,5,1,0.2391304347826090,0.0652173913043478,紫
本所両国,随筆,782,182,49,0.2330779054916990,0.0632183908045977,紫
本所両国_1,随筆,753,174,50,0.2314323607427060,0.0669761273209549,紫
奇怪な再会,小説,731,153,59,0.2096994535519130,0.0812841530054644,紫
神神の微笑,小説,308,58,21,0.1893203883495150,0.0695792880258899,紫
枯野抄,小説,135,28,8,0.2095588235294120,0.0625,紫
槐,随筆,21,4,1,0.2045454545454550,0.0681818181818181,紫
風変りな作品に就いて,随筆,36,7,2,0.2027027027027030,0.0675675675675675,紫
漱石山房の冬,小説,80,20,5,0.2530864197530860,0.0679012345679012,紫
clarimonde,翻訳,849,218,65,0.2570588235294120,0.0770588235294117,紫
西方の人,小説,516,136,40,0.2640232108317220,0.0783365570599613,紫
羅生門の後に,跋文,50,13,4,0.2647058823529410,0.088235294117647,紫
夢_1,随筆,27,7,2,0.2678571428571430,0.0892857142857142,紫
女体,小説,27,7,2,0.2678571428571430,0.0892857142857142,紫
塵労,小説,25,6,2,0.25,0.0961538461538461,紫
「侏儒の言葉」の序,序文,5,1,0,0.25,0.0833333333333333,紫
リチヤアド・バアトン訳「一千一夜物語」に就いて,談話,117,28,10,0.2415254237288140,0.0889830508474576,紫
黄粱夢,小説,38,9,3,0.2435897435897440,0.0897435897435897,紫
一つの作が出来上るまで,随筆,44,9,4,0.2111111111111110,0.1,紫
愛読書の印象,随筆,43,9,4,0.2159090909090910,0.1022727272727270,紫
一人の無名作家,アンケート,14,3,1,0.2333333333333330,0.1,紫
続芭蕉雑記,評論,76,19,8,0.2532467532467530,0.1103896103896100,紫
