file,genre,total,a,b,p_a_s,p_b_s,dendro_color
尾形了斎覚え書,小説,46,0,0,0.0106382978723404,0.0106382978723404,緑
ピアノ,小説,50,0,0,0.0098039215686274,0.0098039215686274,緑
或社会主義者,小説,50,0,0,0.0098039215686274,0.0098039215686274,緑
わが俳諧修業,回想,38,0,0,0.0128205128205128,0.0128205128205128,緑
黄粱夢,小説,38,0,0,0.0128205128205128,0.0128205128205128,緑
「鏡花全集」目録開口,広告文,31,0,0,0.015625,0.015625,緑
教訓談,小説,33,0,0,0.0147058823529411,0.0147058823529411,緑
その頃の赤門生活,回想,33,0,0,0.0147058823529411,0.0147058823529411,緑
伊東から,随筆,33,0,0,0.0147058823529411,0.0147058823529411,緑
白,小説,316,5,3,0.0173501577287066,0.0110410094637223,緑
歯車,小説,955,13,8,0.0141213389121338,0.0088912133891213,緑
歯車_1,小説,940,14,8,0.0154091392136025,0.0090329436769394,緑
田端人,随筆,61,0,1,0.0080645161290322,0.0241935483870967,緑
病中雑記,随筆,71,0,1,0.0069444444444444,0.0208333333333333,緑
大導寺信輔の半生,小説,463,1,11,0.0032327586206896,0.0247844827586206,緑
大導寺信輔の半生_1,小説,463,1,11,0.0032327586206896,0.0247844827586206,緑
竜,小説,132,0,2,0.0037593984962406,0.018796992481203,緑
八宝飯,随筆,119,0,2,0.0041666666666666,0.0208333333333333,緑
浅草公園,シナリオ,340,1,7,0.0043988269794721,0.0219941348973607,緑
神神の微笑,小説,308,0,5,0.0016181229773462,0.017799352750809,緑
誘惑,シナリオ,385,0,5,0.0012953367875647,0.0142487046632124,緑
骨董羹,随筆,372,0,5,0.0013404825737265,0.0147453083109919,緑
年末の一日,小説,108,0,1,0.0045871559633027,0.0137614678899082,緑
北京日記抄,紀行文,270,1,4,0.0055350553505535,0.0166051660516605,緑
古千屋,小説,98,0,1,0.005050505050505,0.0151515151515151,緑
奉教人の死,小説,337,1,5,0.0044378698224852,0.0162721893491124,緑
文部省の仮名遣改定案について,評論,137,0,1,0.0036231884057971,0.0108695652173913,緑
邪宗門,小説,766,2,10,0.0032594524119947,0.013689700130378,緑
或阿呆の一生,小説,490,10,0,0.0213849287169042,0.0010183299389002,緑
地獄変,小説,522,10,1,0.020076481835564,0.002868068833652,緑
地獄變,小説,527,10,1,0.0198863636363636,0.002840909090909,緑
玄鶴山房,小説,441,6,0,0.0147058823529411,0.001131221719457,緑
手紙,小説,194,2,0,0.0128205128205128,0.0025641025641025,緑
温泉だより,小説,221,2,0,0.0112612612612612,0.0022522522522522,緑
夢,随筆,216,1,0,0.0069124423963133,0.0023041474654377,緑
藪の中,小説,276,2,0,0.0090252707581227,0.0018050541516245,緑
藪の中_1,小説,275,2,0,0.0090579710144927,0.0018115942028985,緑
きりしとほろ上人伝,小説,338,0,2,0.0014749262536873,0.0073746312684365,緑
二つの手紙,小説,298,0,2,0.0016722408026755,0.0083612040133779,緑
報恩記,小説,464,0,0,0.0010752688172043,0.0010752688172043,緑
六の宮の姫君,小説,208,0,0,0.0023923444976076,0.0023923444976076,緑
俊寛,小説,524,2,1,0.0047619047619047,0.0028571428571428,緑
春,小説,339,1,1,0.0044117647058823,0.0044117647058823,緑
糸女覚え書,小説,135,0,0,0.0036764705882352,0.0036764705882352,緑
学校友だち,回想,107,0,6,0.0046296296296296,0.0601851851851851,緑
三つのなぜ,小説,107,0,5,0.0046296296296296,0.0509259259259259,緑
小説作法十則,文学論,68,0,3,0.0072463768115942,0.0507246376811594,緑
梅花に対する感情,随筆,71,0,3,0.0069444444444444,0.0486111111111111,緑
鸚鵡,小説,69,0,2,0.0071428571428571,0.0357142857142857,緑
るしへる,小説,140,0,5,0.0035460992907801,0.0390070921985815,緑
三右衛門の罪,小説,251,0,8,0.0019841269841269,0.0337301587301587,緑
或恋愛小説,小説,195,0,6,0.0025510204081632,0.0331632653061224,緑
開化の殺人,小説,192,0,6,0.0025906735751295,0.0336787564766839,緑
袈裟と盛遠,小説,221,12,15,0.0563063063063063,0.0698198198198198,緑
奇遇,小説,219,14,12,0.0659090909090909,0.0568181818181818,緑
沙羅の花,詩歌,8,0,0,0.0555555555555555,0.0555555555555555,緑
饒舌,小説,60,3,3,0.0573770491803278,0.0573770491803278,緑
剛才人と柔才人と,アンケート,15,0,0,0.03125,0.03125,緑
森先生,人物記,14,0,0,0.0333333333333333,0.0333333333333333,緑
臘梅,詩歌,11,0,0,0.0416666666666666,0.0416666666666666,緑
夏目先生と滝田さん,追悼文,12,0,0,0.0384615384615384,0.0384615384615384,緑
永久に不愉快な二重生活,アンケート,13,0,0,0.0357142857142857,0.0357142857142857,緑
三つの窓,小説,243,11,8,0.0471311475409836,0.0348360655737704,緑
運,小説,205,10,8,0.0509708737864077,0.0412621359223301,緑
囈語,断章,9,0,0,0.05,0.05,緑
恒藤恭氏,人物記,75,3,3,0.0460526315789473,0.0460526315789473,緑
無題,断章,10,0,0,0.0454545454545454,0.0454545454545454,緑
MENSURA ZOILI,小説,151,5,8,0.0361842105263157,0.0559210526315789,緑
雑筆,随筆,339,14,19,0.0426470588235294,0.0573529411764705,緑
捨児,小説,120,3,7,0.0289256198347107,0.0619834710743801,緑
母,小説,335,10,19,0.03125,0.0580357142857142,緑
偸盗,小説,1439,44,97,0.0309027777777777,0.0677083333333333,緑
田端日記,日録,128,4,8,0.0348837209302325,0.065891472868217,緑
内田百間氏,人物記,22,0,1,0.0217391304347826,0.0652173913043478,緑
耳目記,断章,21,0,1,0.0227272727272727,0.0681818181818181,緑
水の三日,初期文章,131,3,10,0.0265151515151515,0.0795454545454545,緑
秋,小説,369,8,28,0.0229729729729729,0.077027027027027,緑
