file,genre,total,a,b,p_a_s,p_b_s
伊東から,随筆,33,0,0,0.014705882352941176,0.014705882352941176
白,小説,316,5,3,0.017350157728706624,0.011041009463722398
歯車,小説,955,13,8,0.014121338912133892,0.00889121338912134
歯車_1,小説,940,14,8,0.015409139213602551,0.009032943676939426
田端人,随筆,61,0,1,0.008064516129032258,0.024193548387096774
病中雑記,随筆,71,0,1,0.006944444444444444,0.020833333333333332
大導寺信輔の半生,小説,463,1,11,0.003232758620689655,0.02478448275862069
大導寺信輔の半生_1,小説,463,1,11,0.003232758620689655,0.02478448275862069
竜,小説,132,0,2,0.0037593984962406013,0.018796992481203006
八宝飯,随筆,119,0,2,0.004166666666666667,0.020833333333333332
浅草公園,シナリオ,340,1,7,0.004398826979472141,0.021994134897360705
神神の微笑,小説,308,0,5,0.0016181229773462784,0.01779935275080906
誘惑,シナリオ,385,0,5,0.0012953367875647669,0.014248704663212436
骨董羹,随筆,372,0,5,0.0013404825737265416,0.014745308310991957
年末の一日,小説,108,0,1,0.0045871559633027525,0.013761467889908258
北京日記抄,紀行文,270,1,4,0.005535055350553505,0.016605166051660517
古千屋,小説,98,0,1,0.005050505050505051,0.015151515151515152
奉教人の死,小説,337,1,5,0.004437869822485207,0.016272189349112426
文部省の仮名遣改定案について,評論,137,0,1,0.0036231884057971015,0.010869565217391304
邪宗門,小説,766,2,10,0.003259452411994785,0.013689700130378096
或阿呆の一生,小説,490,10,0,0.021384928716904276,0.0010183299389002036
地獄変,小説,522,10,1,0.020076481835564052,0.0028680688336520078
地獄變,小説,527,10,1,0.019886363636363636,0.002840909090909091
玄鶴山房,小説,441,6,0,0.014705882352941176,0.0011312217194570137
手紙,小説,194,2,0,0.01282051282051282,0.002564102564102564
温泉だより,小説,221,2,0,0.01126126126126126,0.0022522522522522522
夢,随筆,216,1,0,0.0069124423963133645,0.002304147465437788
藪の中,小説,276,2,0,0.009025270758122744,0.0018050541516245488
藪の中_1,小説,275,2,0,0.009057971014492754,0.0018115942028985507
きりしとほろ上人伝,小説,338,0,2,0.0014749262536873156,0.007374631268436578
二つの手紙,小説,298,0,2,0.0016722408026755853,0.008361204013377926
報恩記,小説,464,0,0,0.001075268817204301,0.001075268817204301
六の宮の姫君,小説,208,0,0,0.0023923444976076554,0.0023923444976076554
俊寛,小説,524,2,1,0.004761904761904762,0.002857142857142857
春,小説,339,1,1,0.004411764705882353,0.004411764705882353
糸女覚え書,小説,135,0,0,0.003676470588235294,0.003676470588235294
学校友だち,回想,107,0,6,0.004629629629629629,0.06018518518518518
三つのなぜ,小説,107,0,5,0.004629629629629629,0.05092592592592592
小説作法十則,文学論,68,0,3,0.007246376811594203,0.050724637681159424
梅花に対する感情,随筆,71,0,3,0.006944444444444444,0.04861111111111111
鸚鵡,小説,69,0,2,0.007142857142857143,0.03571428571428571
るしへる,小説,140,0,5,0.0035460992907801418,0.03900709219858156
三右衛門の罪,小説,251,0,8,0.001984126984126984,0.03373015873015873
或恋愛小説,小説,195,0,6,0.002551020408163265,0.03316326530612245
開化の殺人,小説,192,0,6,0.0025906735751295338,0.03367875647668394
袈裟と盛遠,小説,221,12,15,0.05630630630630631,0.06981981981981981
奇遇,小説,219,14,12,0.0659090909090909,0.056818181818181816
沙羅の花,詩歌,8,0,0,0.05555555555555555,0.05555555555555555
饒舌,小説,60,3,3,0.05737704918032787,0.05737704918032787
剛才人と柔才人と,アンケート,15,0,0,0.03125,0.03125
